Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
147166706140048,Martin Hojsík,Martin Hojsík,3654,79
403027089864701,Peter Pellegrini,Peter Pellegrini,2724,34
557862947737785,Progresívne Slovensko,Progresívne Slovensko,2355,38
1185998661417403,Ivan Korčok,Ivan Korčok,2200,29
102146246492040,SMER - SSD,SMER - SD,1139,16
193258414360612,Milan Uhrík • Republika,REPUBLIKA,968,4
163449818290,KDH,KDH,933,25
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,849,32
188067335135140,Strabag Slovensko,Strabag Slovensko,816,74
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,664,6
732167026967322,Robert Fico,SMER - SD,620,6
2631817786833672,Michal Wiezik • Za zelenú Európu,Michal Wiezik,614,5
214399691750828,"Ako dobre, že si",Liga za duševné zdravie SR,560,8
186953775142661,ESET,"ESET, spol. s r.o.",506,4
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,498,15
109669047774695,Brainee.sk,Mafra Slovakia a.s.,497,134
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,470,283
109628675248068,JOJ 24,JOJ 24,438,6
171511222871512,Televízia JOJ,Televízia JOJ,400,2
309315359104222,Milan Majerský,KDH,337,11
1552624815015371,SPP - distribúcia,SPP - distribúcia,301,2
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",282,3
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,272,7
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,241,9
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,226,7
1643155275828458,Ján Mažgút,SMER - SD,225,3
1009998019021765,Forró Krisztián,Forró Krisztián,217,9
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,205,8
207289726707929,Milan Mazurek • Republika,Milan Mazurek,201,2
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,195,13
237493046280813,Katarina Roth Nevedalova,Katarina Roth Nevedalova,195,37
100686359349358,Martina Holečková,Martina Holečková,190,9
127792263918493,Televízia TA3,Televízia TA3,190,3
101038892907757,Mikuláš Dzurinda,"Modrí, Most - Híd",188,2
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,167,5
802573516467334,Juraj Blanár,SMER - SD,167,5
594790970995799,Miriam Lexmann,Miriam Lexmann,161,5
185784721289451,Braňo Ondruš,Braňo Ondruš,157,6
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,150,2
117702164538164,Záhradkársky Veľtrh Trenčín,Záhradkársky Veľtrh Trenčín,142,11
1461718484118285,Niké je tipovanie,Niké je tipovanie,139,1
443163935751338,Košice - Mesto Košice,Mesto Košice,133,2
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,132,94
2001358070115171,Jaro Polaček,Jaroslav Polaček,130,5
100686359349358,Martina Holečková,KDH,123,2
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,123,19
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,122,45
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,118,5
112242151814194,Cementáreň pre komunity,Cementáreň pre komunity,117,5
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,113,2
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",112,20
102013346622578,Petržalka,Mestská časť Bratislava-Petržalka,110,8
110914051965554,MySlovensko,MySlovensko,108,6
288447254691571,Veronika Remišová,ZA ĽUĎÍ,105,4
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,103,4